Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,"BN,Points","BN,Points","BN,Points","BN,Points","BN,Points","BN,Points","BN,Points",Total,Opponent,Opponent Total
kesso,2,Joe Burrow QB - CIN,16.56,Jonathan Taylor RB - IND,6.30,Javonte Williams RB - DAL,8.50,Jonathan Taylor RB - IND,6.30,Javonte Williams RB - DAL,8.50,Amon-Ra St. Brown WR - DET,30.40,Drake London WR - ATL,16.60,Amon-Ra St. Brown WR - DET,30.40,Drake London WR - ATL,16.60,Darren Waller TE - MIA,11.00,-,0.00,Brandon McManus K - GB,12.00,Denver Broncos DEF - DEN,7.00,Keenan Allen WR - LAC,0.00,Melvin Gordon RB,5.30,Allen Lazard WR - NYJ,7.30,Michael Pittman WR - IND,0.00,DeVonta Smith WR - PHI,8.00,Aaron Rodgers QB - PIT,16.36,-,0.00,174.32,lancemourdock,104.46
lancemourdock,8,Justin Herbert QB - LAC,23.46,Joe Mixon RB - HOU,8.30,Leonard Fournette RB,7.40,Joe Mixon RB - HOU,8.30,Leonard Fournette RB,7.40,Justin Jefferson WR - MIN,4.80,A.J. Brown WR - PHI,6.90,Justin Jefferson WR - MIN,4.80,A.J. Brown WR - PHI,6.90,T.J. Hockenson TE - MIN,2.60,-,0.00,Wil Lutz K - DEN,4.10,New Orleans Saints DEF - NO,4.00,DeAndre Hopkins WR - BAL,0.00,Chase Edmonds RB - WAS,4.10,Damien Harris RB,14.70,Hunter Renfrow WR - CAR,3.90,Breece Hall RB - NYJ,12.00,-,0.00,-,0.00,104.46,kesso,174.32
SimonFuhr237,1,Kyler Murray QB - ARI,25.88,Derrick Henry RB - BAL,8.50,D'Andre Swift RB - CHI,14.70,Derrick Henry RB - BAL,8.50,D'Andre Swift RB - CHI,14.70,Stefon Diggs WR - NE,32.80,Courtland Sutton WR - DEN,12.70,Stefon Diggs WR - NE,32.80,Courtland Sutton WR - DEN,12.70,Mark Andrews TE - BAL,16.70,-,0.00,Tyler Bass K - BUF,13.60,Buffalo Bills DEF - BUF,20.00,Tyler Lockett WR - TEN,10.70,JuJu Smith-Schuster WR - KC,1.00,Dallas Goedert TE - PHI,8.20,Tee Higgins WR - CIN,13.10,A.J. Dillon RB - PHI,6.70,Elijah Mitchell RB - KC,0.00,-,0.00,196.38,Jottage,150.46
Jottage,4,Russell Wilson QB - NYG,11.06,Christian McCaffrey RB - SF,12.80,Nick Chubb RB - HOU,29.30,Christian McCaffrey RB - SF,12.80,Nick Chubb RB - HOU,29.30,CeeDee Lamb WR - DAL,8.10,DJ Moore WR - CHI,10.30,CeeDee Lamb WR - DAL,8.10,DJ Moore WR - CHI,10.30,Zach Ertz TE - WAS,7.50,-,0.00,Evan McPherson K - CIN,13.90,Tampa Bay Buccaneers DEF - TB,26.00,Allen Robinson WR,11.30,Chris Godwin WR - TB,0.00,George Kittle TE - SF,0.00,Darrell Henderson RB,10.70,Devin Singletary RB - NYG,2.10,Cam Akers RB - MIN,6.20,-,0.00,150.46,SimonFuhr237,196.38
LosSausages,5,Lamar Jackson QB - BAL,42.62,Austin Ekeler RB - WAS,9.40,Antonio Gibson RB - NE,10.10,Austin Ekeler RB - WAS,9.40,Antonio Gibson RB - NE,10.10,Davante Adams WR - LAR,7.20,Michael Thomas WR,12.50,Davante Adams WR - LAR,7.20,Michael Thomas WR,12.50,Dalton Schultz TE - HOU,-0.20,-,0.00,Justin Tucker K,10.10,Green Bay Packers DEF - GB,9.00,Amari Cooper WR,16.10,Alvin Kamara RB - NO,0.00,Dawson Knox TE - BUF,4.10,Brandon Aiyuk WR - SF,6.30,Michael Carter RB - ARI,5.00,Baltimore Ravens DEF - BAL,7.00,-,0.00,144.12,Juschka,115.28
Juschka,7,Josh Allen QB - BUF,29.68,Najee Harris RB - LAC,8.90,Josh Jacobs RB - GB,8.10,Najee Harris RB - LAC,8.90,Josh Jacobs RB - GB,8.10,Ja'Marr Chase WR - CIN,5.80,Mike Evans WR - TB,6.10,Ja'Marr Chase WR - CIN,5.80,Mike Evans WR - TB,6.10,Taysom Hill TE - NO,1.40,-,0.00,Matt Prater K - BUF,1.00,Los Angeles Rams DEF - LAR,9.00,Marquez Valdes-Scantling WR,1.30,Jeff Wilson RB - MIA,10.30,Hollywood Brown WR - KC,6.80,David Montgomery RB - DET,13.60,Diontae Johnson WR,7.70,Jaylen Warren RB - PIT,1.50,-,0.00,115.28,LosSausages,144.12
ShamH,4,Patrick Mahomes QB - KC,17.08,Dameon Pierce RB - HOU,16.10,James Conner RB - ARI,5.70,Dameon Pierce RB - HOU,16.10,James Conner RB - ARI,5.70,Cooper Kupp WR - SEA,12.40,Jaylen Waddle WR - MIA,11.10,Cooper Kupp WR - SEA,12.40,Jaylen Waddle WR - MIA,11.10,Travis Kelce TE - KC,13.90,-,0.00,Matt Gay K - WAS,9.00,Cleveland Browns DEF - CLE,10.00,Brandin Cooks WR - NO,2.20,Mike Williams WR,7.50,Kareem Hunt RB - KC,6.10,Rashaad Penny RB,6.90,Gabe Davis WR - BUF,3.70,Rashod Bateman WR - BAL,3.90,-,0.00,144.18,LosSausages,155.32
LosSausages,2,Lamar Jackson QB - BAL,39.42,Austin Ekeler RB - WAS,5.30,Ezekiel Elliott RB,13.50,Austin Ekeler RB - WAS,5.30,Ezekiel Elliott RB,13.50,Davante Adams WR - LAR,9.20,Amari Cooper WR,16.10,Davante Adams WR - LAR,9.20,Amari Cooper WR,16.10,Zach Ertz TE - WAS,4.50,-,0.00,Justin Tucker K,9.60,Baltimore Ravens DEF - BAL,11.00,Michael Thomas WR,4.90,Brandon Aiyuk WR - SF,9.90,Antonio Gibson RB - NE,10.00,Michael Carter RB - ARI,4.60,Jahan Dotson WR - PHI,1.00,Green Bay Packers DEF - GB,11.00,-,0.00,155.32,ShamH,144.18
kesso,3,Joe Burrow QB - CIN,23.00,Jonathan Taylor RB - IND,9.10,Javonte Williams RB - DAL,6.00,Jonathan Taylor RB - IND,9.10,Javonte Williams RB - DAL,6.00,Amon-Ra St. Brown WR - DET,7.30,Drake London WR - ATL,11.40,Amon-Ra St. Brown WR - DET,7.30,Drake London WR - ATL,11.40,Darren Waller TE - MIA,2.20,-,0.00,Brandon McManus K - GB,5.50,Denver Broncos DEF - DEN,16.00,Keenan Allen WR - LAC,0.00,Melvin Gordon RB,11.50,Allen Lazard WR - NYJ,10.50,Michael Pittman WR - IND,7.20,DeVonta Smith WR - PHI,22.90,Aaron Rodgers QB - PIT,16.10,-,0.00,151.40,SimonFuhr237,133.36
SimonFuhr237,6,Kyler Murray QB - ARI,13.36,Derrick Henry RB - BAL,20.30,D'Andre Swift RB - CHI,4.60,Derrick Henry RB - BAL,20.30,D'Andre Swift RB - CHI,4.60,Stefon Diggs WR - NE,7.40,Tee Higgins WR - CIN,9.30,Stefon Diggs WR - NE,7.40,Tee Higgins WR - CIN,9.30,Mark Andrews TE - BAL,20.90,-,0.00,Tyler Bass K - BUF,5.00,Buffalo Bills DEF - BUF,4.00,Tyler Lockett WR - TEN,7.60,JuJu Smith-Schuster WR - KC,8.90,Dallas Goedert TE - PHI,8.60,Courtland Sutton WR - DEN,9.70,A.J. Dillon RB - PHI,3.80,Elijah Mitchell RB - KC,0.00,-,0.00,133.36,kesso,151.40
