TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
LosSausages,1,11-3-0,1455.07,1288.06,3,Los Cheezos Ritzos,0,0,
ShamH,2,10-4-0,1686.09,1346.09,2,Weizen Express,0,0,8
theBIGLebronski,3,9-5-0,1471.01,1337.02,4,Show Me Your TDs,0,0,
Jottage,4,8-6-0,1513.00,1452.08,1,oG United,0,0,
kesso,5,6-8-0,1258.01,1418.08,,Snatchville Lubricators,0,0,
lancemourdock,6,4-10-0,1234.01,1469.06,,Suckme Mourdock Network,0,0,
Juschka,7,4-10-0,1281.07,1420.09,,Juschka,0,0,
SimonFuhr237,8,4-10-0,1439.03,1605.01,,SimonFuhr237,0,0,
